,name_sim_score,cat_sim_score,rating,manuf_count
exr:OnePlus_10R_5G_Forest_Green_8GB_RAM_128GB_Storage_80W_SuperVOOC_,0.21557131906350455,0.14285714285714285,4.3,0
exr:OnePlus_Nord_CE_2_Lite_5G_Blue_Tide_6GB_RAM_128GB_Storage_,0.2780538946390152,0.14285714285714285,4.3,0
exr:Nokia_C12_Android_12_Go_Edition_Smartphone_All_Day_Battery_4GB_RAM_2GB_RAM_2GB_Virtual_RAM_64GB_Capacity_Charcoal,0.2633900245030721,0.14285714285714285,3.2,0
exr:Lava_Blaze_5G_Glass_Blue_4GB_RAM_UFS_2_2_128GB_Storage_5G_Ready_50MP_AI_Triple_Camera_Upto_7GB_Expandable_RAM_Charger_Included_Clean_Android_No_Bloatware_,0.24802436927954355,0.14285714285714285,4.1,0
exr:Acer_Aspire_5_Gaming_Laptop_Intel_Core_i5_12th_gen_12_Cores_Processor_16_GB_512_GB_SSD_Win11_Home_4GB_Graphics_RTX_2050_A515_57G_15_6_FHD_Display_1_8_Kg_Flat_Rs_2000_of_All_Bank_Cards,0.2567922423283259,0.0,4.1,0
exr:Egate_O9_Android_Full_HD_Projector_4K_Display_on_Native_Full_HD_1080p_690_ANSI_6900_L_LED_Triple_WiFi_4P_4D_Digital_Keystone_533cm_210_inch_Large_Display_Certified_Dolby_EGP513_Blue,0.21821684141953787,0.16666666666666666,4.0,0
exr:Airtel_DTH_HD_Set_Top_Box_1_Month_Entertainment_Pack_Recording_Feature_Free_Installation,0.23809187610944113,0.14285714285714285,4.3,0
exr:Saifsmart_Outlet_Wall_Mount_Hanger_Holder_for_Dot_3rd_Gen_Compact_Bracket_Case_Plug_and_Built_in_Cable_Management_for_Kitchen_Bathroom_Bedroom_Black_,0.21568759779135385,0.125,4.0,0
exr:DJI_OSMO_Mobile_SE_Intelligent_Gimbal_3_Axis_Phone_Gimbal_Portable_and_Foldable_Android_and_iPhone_Gimbal_with_ShotGuides_Smartphone_Gimbal_with_ActiveTrack_5_0_Vlogging_Stabilizer_YouTube_Video,0.2050157884756724,0.125,4.3,0
exr:Lapster_5_in_1_Multi_Function_Laptop_Cleaning_Brush_Keyboard_Cleaning_kit_Gadget_Cleaning_kit_Gap_Duster_Key_Cap_Puller_for_Laptop_Keyboard_and_Earphones_Multi_Colour_,0.23183143635590872,0.0,4.1,0
exr:ASA_Global_Solution_Fabric_14_inch_Laptop_Sleeve_with_Inner_Protection_and_Water_Resistance,0.20540253321329752,0.0,4.4,0
exr:Allen_Solly_Mens_Regular_Fit_Polo,0.31296569605668384,0.3333333333333333,4.1,0
exr:Veirdo_Oversized_Loose_Baggy_Fit_Drop_Shoulder_Half_Sleeves_Pure_Cotton_The_Original_Graphic_Printed_T_Shirt_for_Men,0.41066159804662067,0.3333333333333333,4.4,0
exr:LEOTUDE_Womens_Cottonblend_Half_Sleeve_Oversized_T_Shirts_Color_Orange_,0.3453134000301361,0.3333333333333333,3.7,0
exr:Campus_Mens_OXYFIT_N_Walking_Shoe,0.29292460282643634,0.125,4.1,0
exr:BRUTON_Shoes_Shoes_Casual_Shoes_Sports_Shoes_Running_Shoes_Exclusive_Shoes_for_Men,0.3670543332894643,0.125,2.9,0
exr:CHUPPS_Mens_Boys_Natural_Rubber_Flip_Flops_Slippers_KALEEN_DESIGN_Comfortable_Ultra_Light_Odour_Free_Non_Slip_Long_Lasting_Digital_Prints,0.3222235043843587,0.14285714285714285,4.4,0
exr:Fastrack_Men_Square_Black_Sunglasses_Pack_of_1,0.49774184823036194,1.0,4.0,1
exr:Ray_Ban_Men_Rectangular_Sunglasses,0.3823949545621872,1.0,3.8,0
exr:Fastrack_Aviator_Unisex_Sunglasses_M069BK3_58_Grey_Pack_of_1,0.5035887658596039,1.0,3.9,1
exr:Fastrack_Unisex_Aviator_Sunglasses_Black,0.4271109898885091,1.0,3.1,1
exr:Ray_Ban_Men_Square_Sunglasses_Black_Frame_Green_Lens_Small_Pack_of_1,0.46697306632995605,1.0,4.0,0
exr:CREATURE_Men_Socks,0.2681688716014226,0.2857142857142857,4.1,0
exr:Jockey_Mens_Calf_Length_Sports_Cotton_Socks,0.22769020001093546,0.2857142857142857,4.2,0
exr:BALENZIA_Mens_Cushioned_High_Ankle_Sports_Socks_Free_Size_Made_with_Cotton_Spandex_Combo_Pack_of_3_5_Black_Navy_White_Light_Grey_Dark_Grey_,0.36910266677538556,0.25,4.1,0
exr:Jockey_7002_Mens_Compact_Cotton_Stretch_Ankle_Length_Socks_with_Stay_Fresh_Technology,0.26773617168267566,0.25,4.1,0
exr:Yellow_Chimes_Chain_Pendant_for_Men_Black_Men_Pendant_Stainless_Steel_Black_Sailor_Anchor_Charm_Pendant_Necklace_for_Men_and_Boys_,0.2553974986076355,0.16666666666666666,3.8,0
exr:URBAN_FOREST_Leather_Belt_for_Men,0.3943740526835124,0.3333333333333333,4.0,0
exr:GUSTAVE_Mens_Shirt_Stays_Adjustable_Elastic_Shirt_Garters_with_Locking_Non_Slip_Clips,0.25523841381073,0.3333333333333333,4.0,0
exr:HIDE_SKIN_Mens_Leather_Belt,0.32740932206312817,0.3333333333333333,4.1,0
exr:PALAY_Pants_Chain_Jeans_Chain_for_Men_Women_Fashion_Gothic_Punk_Wallet_Pocket_Chain_Belt_Chain_Hip_Hop_Rock_Biker_Trousers_Chain_Silver_,0.41993247469266254,0.3333333333333333,4.3,0
exr:KOTTY_Women_Polyester_Blend_Green_Solid_Trousers,0.3433127999305725,0.14285714285714285,3.6,0
exr:Campus_Sutra_Womens_Cotton_Jacket_Relaxed_Fit_For_Casual_Wear_Full_Sleeve_Latest_Stylish_Wear_Cotton_Jacket_Crafted_With_Comfort_Fit_And_High_Performance_For_Everyday_Wear,0.31867243349552155,0.1111111111111111,0.0,0
exr:LEOTUDE_Cottonblend_Half_Sleeve_Oversized_T_Shirts_for_Women_Color_Brown_,0.338450163602829,0.125,3.6,0
exr:LEOTUDE_Cotton_Blend_Half_Sleeve_Oversized_Back_Printed_Womens_T_Shirt,0.34936122099558514,0.125,3.9,0
