,name_sim_score,cat_sim_score,rating,manuf_count
exr:HP_Victus_Gaming_Latest_AMD_Ryzen_5_5600H_Processor_16_1_inch_40_9_cm_FHD_Gaming_Laptop_8GB_RAM_512GB_SSD_4GB_Radeon_RX5500M_Graphics_B_O_Backlit_KB_Win_11_MS_Office_Xbox_Game_Pass_16_E0162ax,0.23264511426289877,0.16666666666666666,4.3,0
exr:DJI_OSMO_Mobile_SE_Intelligent_Gimbal_3_Axis_Phone_Gimbal_Portable_and_Foldable_Android_and_iPhone_Gimbal_with_ShotGuides_Smartphone_Gimbal_with_ActiveTrack_5_0_Vlogging_Stabilizer_YouTube_Video,0.2740016132593155,0.5,4.3,0
exr:Lapster_5_in_1_Multi_Function_Laptop_Cleaning_Brush_Keyboard_Cleaning_kit_Gadget_Cleaning_kit_Gap_Duster_Key_Cap_Puller_for_Laptop_Keyboard_and_Earphones_Multi_Colour_,0.2038368284702301,0.3333333333333333,4.1,0
exr:Allen_Solly_Mens_Regular_Fit_Polo,0.29867306848367053,0.14285714285714285,4.1,0
exr:Veirdo_Oversized_Loose_Baggy_Fit_Drop_Shoulder_Half_Sleeves_Pure_Cotton_The_Original_Graphic_Printed_T_Shirt_for_Men,0.3099631766478221,0.14285714285714285,4.4,0
exr:LEOTUDE_Womens_Cottonblend_Half_Sleeve_Oversized_T_Shirts_Color_Orange_,0.39015146096547443,0.14285714285714285,3.7,0
exr:Campus_Mens_OXYFIT_N_Walking_Shoe,0.2675403455893199,0.125,4.1,0
exr:BRUTON_Shoes_Shoes_Casual_Shoes_Sports_Shoes_Running_Shoes_Exclusive_Shoes_for_Men,0.2709844211737315,0.125,2.9,0
exr:CHUPPS_Mens_Boys_Natural_Rubber_Flip_Flops_Slippers_KALEEN_DESIGN_Comfortable_Ultra_Light_Odour_Free_Non_Slip_Long_Lasting_Digital_Prints,0.3101542592048645,0.14285714285714285,4.4,0
exr:Fastrack_Men_Square_Black_Sunglasses_Pack_of_1,0.31117955843607586,0.14285714285714285,4.0,0
exr:Ray_Ban_Men_Rectangular_Sunglasses,0.23779471715291342,0.14285714285714285,3.8,0
exr:Fastrack_Aviator_Unisex_Sunglasses_M069BK3_58_Grey_Pack_of_1,0.36202992995580036,0.14285714285714285,3.9,0
exr:Fastrack_Unisex_Aviator_Sunglasses_Black,0.35642901062965393,0.14285714285714285,3.1,0
exr:Ray_Ban_Men_Square_Sunglasses_Black_Frame_Green_Lens_Small_Pack_of_1,0.323249210913976,0.14285714285714285,4.0,0
exr:Fastrack_Men_Casual_Round_Sunglasses_Brown_59_mm_NBM138GR5P_Pack_of_1,0.37003204226493835,0.14285714285714285,3.9,0
exr:CREATURE_Men_Socks,0.25592243174711865,0.125,4.1,0
exr:BALENZIA_Mens_Cushioned_High_Ankle_Sports_Socks_Free_Size_Made_with_Cotton_Spandex_Combo_Pack_of_3_5_Black_Navy_White_Light_Grey_Dark_Grey_,0.33666836222012836,0.1111111111111111,4.1,0
exr:Jockey_7002_Mens_Compact_Cotton_Stretch_Ankle_Length_Socks_with_Stay_Fresh_Technology,0.2375659942626953,0.1111111111111111,4.1,0
exr:Malabar_Gold_Diamonds_24k_999_Goddess_Lakshmi_1_gm_Yellow_Gold_Coin,0.23972287277380624,0.0,4.6,0
exr:Yellow_Chimes_Chain_Pendant_for_Men_Black_Men_Pendant_Stainless_Steel_Black_Sailor_Anchor_Charm_Pendant_Necklace_for_Men_and_Boys_,0.30725932121276855,0.0,3.8,0
exr:URBAN_FOREST_Leather_Belt_for_Men,0.32159726818402606,0.14285714285714285,4.0,0
exr:GUSTAVE_Mens_Shirt_Stays_Adjustable_Elastic_Shirt_Garters_with_Locking_Non_Slip_Clips,0.22183412810166678,0.14285714285714285,4.0,0
exr:HIDE_SKIN_Mens_Leather_Belt,0.2943682124217351,0.14285714285714285,4.1,0
exr:PALAY_Pants_Chain_Jeans_Chain_for_Men_Women_Fashion_Gothic_Punk_Wallet_Pocket_Chain_Belt_Chain_Hip_Hop_Rock_Biker_Trousers_Chain_Silver_,0.45986441771189374,0.14285714285714285,4.3,0
exr:Campus_Sutra_Womens_Cotton_Jacket_Relaxed_Fit_For_Casual_Wear_Full_Sleeve_Latest_Stylish_Wear_Cotton_Jacket_Crafted_With_Comfort_Fit_And_High_Performance_For_Everyday_Wear,0.31743059555689496,0.42857142857142855,0.0,0
exr:LEOTUDE_Cottonblend_Half_Sleeve_Oversized_T_Shirts_for_Women_Color_Brown_,0.31571322679519653,0.5,3.6,0
exr:LEOTUDE_Cotton_Blend_Half_Sleeve_Oversized_Back_Printed_Womens_T_Shirt,0.3709370195865631,0.5,3.9,0
exr:Kotty_Womens_Loose_Fit_Jeans,0.4447535475095113,0.6,3.7,1
exr:Jockey_AW87_Womens_Super_Combed_Cotton_Elastane_Stretch_Slim_Fit_Leggings_with_Ultrasoft_Waistband,0.37647000948588055,0.6,4.2,0
exr:Stylum_Womens_Self_Woven_Kantha_Cotton_Cord_Set,0.39937861760457355,0.5,4.7,0
exr:Campus_Sutra_Womens_Electric_Blue_Regular_Fit_Cotton_Jacket_For_Winter_Wear_Standing_Collar_Full_Sleeve_Buttoned_Casual_Jacket_For_Woman_Girl_Western_Stylish_Jacket_For_Women,0.3113684058189392,0.42857142857142855,0.0,0
exr:DHRUVI_TRENDZ_Soft_Cotton_Silk_Saree_For_Women_Half_Sarees_Under_449_2020_Beautiful_For_Women_saree_free_size_with_blouse_piece,0.35486263036727905,0.3333333333333333,3.7,0
exr:OM_SAI_LATEST_CREATION_Women_Soft_Cotton_Silk_Banarasi_Saree_for_women_Under_300_2022_Beautiful_saree_free_size_with_blouse_piece_Saree,0.35182329018910724,0.3333333333333333,3.7,0
exr:SIRIL_Womens_Tassel_Self_Woven_Cotton_Silk_Saree_with_Unstitched_Blouse_Piece,0.3553154071172078,0.3333333333333333,3.8,0
exr:Amazon_Brand_Myx_Womens_Cotton_Straight_Short_Kurti,0.3517521321773529,0.3333333333333333,4.0,0
exr:Ada_Hand_Embroidered_Lucknowi_Chikankari_Straight_Cotton_Kurta_Kurti_for_Women_A133488,0.3904484510421753,0.3333333333333333,4.0,0
