,name_sim_score,cat_sim_score,rating,manuf_count
exr:OnePlus_10R_5G_Forest_Green_8GB_RAM_128GB_Storage_80W_SuperVOOC_,0.2196242610613505,0.0,4.3,0
exr:OnePlus_Nord_CE_2_Lite_5G_Blue_Tide_6GB_RAM_128GB_Storage_,0.25463292996088666,0.0,4.3,0
exr:Nokia_C12_Android_12_Go_Edition_Smartphone_All_Day_Battery_4GB_RAM_2GB_RAM_2GB_Virtual_RAM_64GB_Capacity_Charcoal,0.23217262824376425,0.0,3.2,0
exr:Lava_Blaze_5G_Glass_Blue_4GB_RAM_UFS_2_2_128GB_Storage_5G_Ready_50MP_AI_Triple_Camera_Upto_7GB_Expandable_RAM_Charger_Included_Clean_Android_No_Bloatware_,0.24561976393063864,0.0,4.1,0
exr:OnePlus_10_Pro_5G_Emerald_Forest_8GB_RAM_128GB_Storage_,0.2005178133646647,0.0,4.2,0
exr:HP_Victus_Gaming_Latest_AMD_Ryzen_5_5600H_Processor_16_1_inch_40_9_cm_FHD_Gaming_Laptop_8GB_RAM_512GB_SSD_4GB_Radeon_RX5500M_Graphics_B_O_Backlit_KB_Win_11_MS_Office_Xbox_Game_Pass_16_E0162ax,0.2026707132657369,0.0,4.3,0
exr:Acer_Aspire_5_Gaming_Laptop_Intel_Core_i5_12th_gen_12_Cores_Processor_16_GB_512_GB_SSD_Win11_Home_4GB_Graphics_RTX_2050_A515_57G_15_6_FHD_Display_1_8_Kg_Flat_Rs_2000_of_All_Bank_Cards,0.23552914957205454,0.0,4.1,0
exr:Egate_O9_Android_Full_HD_Projector_4K_Display_on_Native_Full_HD_1080p_690_ANSI_6900_L_LED_Triple_WiFi_4P_4D_Digital_Keystone_533cm_210_inch_Large_Display_Certified_Dolby_EGP513_Blue,0.20482405523459116,0.0,4.0,0
exr:Airtel_DTH_HD_Set_Top_Box_1_Month_Entertainment_Pack_Recording_Feature_Free_Installation,0.22792100658019385,0.0,4.3,0
exr:Saifsmart_Outlet_Wall_Mount_Hanger_Holder_for_Dot_3rd_Gen_Compact_Bracket_Case_Plug_and_Built_in_Cable_Management_for_Kitchen_Bathroom_Bedroom_Black_,0.24061557153860727,0.0,4.0,0
exr:DJI_OSMO_Mobile_SE_Intelligent_Gimbal_3_Axis_Phone_Gimbal_Portable_and_Foldable_Android_and_iPhone_Gimbal_with_ShotGuides_Smartphone_Gimbal_with_ActiveTrack_5_0_Vlogging_Stabilizer_YouTube_Video,0.20614664256572723,0.0,4.3,0
exr:Lapster_5_in_1_Multi_Function_Laptop_Cleaning_Brush_Keyboard_Cleaning_kit_Gadget_Cleaning_kit_Gap_Duster_Key_Cap_Puller_for_Laptop_Keyboard_and_Earphones_Multi_Colour_,0.3023511469364166,0.0,4.1,0
exr:Veirdo_Oversized_Loose_Baggy_Fit_Drop_Shoulder_Half_Sleeves_Pure_Cotton_The_Original_Graphic_Printed_T_Shirt_for_Men,0.2863533596197764,0.14285714285714285,4.4,0
exr:LEOTUDE_Womens_Cottonblend_Half_Sleeve_Oversized_T_Shirts_Color_Orange_,0.31535743673642475,0.14285714285714285,3.7,0
exr:Campus_Mens_OXYFIT_N_Walking_Shoe,0.23303511242071787,0.0,4.1,0
exr:BRUTON_Shoes_Shoes_Casual_Shoes_Sports_Shoes_Running_Shoes_Exclusive_Shoes_for_Men,0.25151316821575165,0.0,2.9,0
exr:CHUPPS_Mens_Boys_Natural_Rubber_Flip_Flops_Slippers_KALEEN_DESIGN_Comfortable_Ultra_Light_Odour_Free_Non_Slip_Long_Lasting_Digital_Prints,0.3139094114303589,0.0,4.4,0
