,name_sim_score,cat_sim_score,rating,manuf_count
exr:OnePlus_10R_5G_Forest_Green_8GB_RAM_128GB_Storage_80W_SuperVOOC_,0.22224517663319907,0.0,4.3,0
exr:OnePlus_Nord_CE_2_Lite_5G_Blue_Tide_6GB_RAM_128GB_Storage_,0.22929814457893372,0.0,4.3,0
exr:Nokia_C12_Android_12_Go_Edition_Smartphone_All_Day_Battery_4GB_RAM_2GB_RAM_2GB_Virtual_RAM_64GB_Capacity_Charcoal,0.2035340666770935,0.0,3.2,0
exr:Lava_Blaze_5G_Glass_Blue_4GB_RAM_UFS_2_2_128GB_Storage_5G_Ready_50MP_AI_Triple_Camera_Upto_7GB_Expandable_RAM_Charger_Included_Clean_Android_No_Bloatware_,0.2572171787420909,0.0,4.1,0
exr:Acer_Aspire_5_Gaming_Laptop_Intel_Core_i5_12th_gen_12_Cores_Processor_16_GB_512_GB_SSD_Win11_Home_4GB_Graphics_RTX_2050_A515_57G_15_6_FHD_Display_1_8_Kg_Flat_Rs_2000_of_All_Bank_Cards,0.3580574343601863,1.0,4.1,0
exr:Egate_O9_Android_Full_HD_Projector_4K_Display_on_Native_Full_HD_1080p_690_ANSI_6900_L_LED_Triple_WiFi_4P_4D_Digital_Keystone_533cm_210_inch_Large_Display_Certified_Dolby_EGP513_Blue,0.250259389479955,0.0,4.0,0
exr:Lapster_5_in_1_Multi_Function_Laptop_Cleaning_Brush_Keyboard_Cleaning_kit_Gadget_Cleaning_kit_Gap_Duster_Key_Cap_Puller_for_Laptop_Keyboard_and_Earphones_Multi_Colour_,0.2642974605162938,1.0,4.1,0
exr:ASA_Global_Solution_Fabric_14_inch_Laptop_Sleeve_with_Inner_Protection_and_Water_Resistance,0.251315916577975,0.2857142857142857,4.4,0
exr:Verilux_USB_C_Hub_6_in_1_Aluminum_Multiport_Adapter_with_4K_HDMI_30Hz_PD_87W_USB_C_Data_Transfer_USB_3_0_2_0_Port_SD_Micro_SD_Card_Reader_Type_C_Hub_for_MacBook_Pro_MacBook_Air_Type_C_Devices,0.23366707066694895,0.4,4.0,0
exr:Allen_Solly_Mens_Regular_Fit_Polo,0.29588445524374646,0.6,4.1,0
exr:LEOTUDE_Womens_Cottonblend_Half_Sleeve_Oversized_T_Shirts_Color_Orange_,0.37338196734587353,1.0,3.7,0
exr:Campus_Mens_OXYFIT_N_Walking_Shoe,0.24670347074667612,0.0,4.1,0
exr:BRUTON_Shoes_Shoes_Casual_Shoes_Sports_Shoes_Running_Shoes_Exclusive_Shoes_for_Men,0.24143609901269278,0.0,2.9,0
exr:CHUPPS_Mens_Boys_Natural_Rubber_Flip_Flops_Slippers_KALEEN_DESIGN_Comfortable_Ultra_Light_Odour_Free_Non_Slip_Long_Lasting_Digital_Prints,0.26645096639792126,0.0,4.4,0
exr:Fastrack_Men_Square_Black_Sunglasses_Pack_of_1,0.2916579842567444,0.3333333333333333,4.0,0
exr:Ray_Ban_Men_Rectangular_Sunglasses,0.24644234776496887,0.3333333333333333,3.8,0
exr:Fastrack_Aviator_Unisex_Sunglasses_M069BK3_58_Grey_Pack_of_1,0.29374698797861737,0.3333333333333333,3.9,0
exr:Fastrack_Unisex_Aviator_Sunglasses_Black,0.27255845069885254,0.3333333333333333,3.1,0
exr:Ray_Ban_Men_Square_Sunglasses_Black_Frame_Green_Lens_Small_Pack_of_1,0.28592726588249207,0.3333333333333333,4.0,0
exr:Fastrack_Men_Casual_Round_Sunglasses_Brown_59_mm_NBM138GR5P_Pack_of_1,0.3314239929119746,0.3333333333333333,3.9,0
exr:CREATURE_Men_Socks,0.2337332417567571,0.5,4.1,0
exr:Jockey_Mens_Calf_Length_Sports_Cotton_Socks,0.21231588224569956,0.5,4.2,0
exr:BALENZIA_Mens_Cushioned_High_Ankle_Sports_Socks_Free_Size_Made_with_Cotton_Spandex_Combo_Pack_of_3_5_Black_Navy_White_Light_Grey_Dark_Grey_,0.31294528643290204,0.42857142857142855,4.1,0
exr:Jockey_7002_Mens_Compact_Cotton_Stretch_Ankle_Length_Socks_with_Stay_Fresh_Technology,0.21667525668938956,0.42857142857142855,4.1,0
exr:Yellow_Chimes_Chain_Pendant_for_Men_Black_Men_Pendant_Stainless_Steel_Black_Sailor_Anchor_Charm_Pendant_Necklace_for_Men_and_Boys_,0.22071903944015503,0.16666666666666666,3.8,0
exr:URBAN_FOREST_Leather_Belt_for_Men,0.4026460498571396,1.0,4.0,0
exr:GUSTAVE_Mens_Shirt_Stays_Adjustable_Elastic_Shirt_Garters_with_Locking_Non_Slip_Clips,0.25689465055863064,0.3333333333333333,4.0,0
exr:PALAY_Pants_Chain_Jeans_Chain_for_Men_Women_Fashion_Gothic_Punk_Wallet_Pocket_Chain_Belt_Chain_Hip_Hop_Rock_Biker_Trousers_Chain_Silver_,0.3871336579322815,1.0,4.3,0
exr:KOTTY_Women_Polyester_Blend_Green_Solid_Trousers,0.24569561084111533,0.14285714285714285,3.6,0
exr:Campus_Sutra_Womens_Cotton_Jacket_Relaxed_Fit_For_Casual_Wear_Full_Sleeve_Latest_Stylish_Wear_Cotton_Jacket_Crafted_With_Comfort_Fit_And_High_Performance_For_Everyday_Wear,0.3064931780099869,0.1111111111111111,0.0,0
