,name_sim_score,cat_sim_score,rating,manuf_count
exr:HP_Victus_Gaming_Latest_AMD_Ryzen_5_5600H_Processor_16_1_inch_40_9_cm_FHD_Gaming_Laptop_8GB_RAM_512GB_SSD_4GB_Radeon_RX5500M_Graphics_B_O_Backlit_KB_Win_11_MS_Office_Xbox_Game_Pass_16_E0162ax,0.22889609138170877,0.0,4.3,0
exr:Acer_Aspire_5_Gaming_Laptop_Intel_Core_i5_12th_gen_12_Cores_Processor_16_GB_512_GB_SSD_Win11_Home_4GB_Graphics_RTX_2050_A515_57G_15_6_FHD_Display_1_8_Kg_Flat_Rs_2000_of_All_Bank_Cards,0.21135243773460388,0.0,4.1,0
exr:Egate_O9_Android_Full_HD_Projector_4K_Display_on_Native_Full_HD_1080p_690_ANSI_6900_L_LED_Triple_WiFi_4P_4D_Digital_Keystone_533cm_210_inch_Large_Display_Certified_Dolby_EGP513_Blue,0.21228746076424918,0.16666666666666666,4.0,0
exr:Saifsmart_Outlet_Wall_Mount_Hanger_Holder_for_Dot_3rd_Gen_Compact_Bracket_Case_Plug_and_Built_in_Cable_Management_for_Kitchen_Bathroom_Bedroom_Black_,0.21663524210453033,0.125,4.0,0
exr:Lapster_5_in_1_Multi_Function_Laptop_Cleaning_Brush_Keyboard_Cleaning_kit_Gadget_Cleaning_kit_Gap_Duster_Key_Cap_Puller_for_Laptop_Keyboard_and_Earphones_Multi_Colour_,0.26515985031922656,0.0,4.1,0
exr:Allen_Solly_Mens_Regular_Fit_Polo,0.301814337571462,0.6,4.1,0
exr:LEOTUDE_Womens_Cottonblend_Half_Sleeve_Oversized_T_Shirts_Color_Orange_,0.39164972802003223,1.0,3.7,0
exr:Campus_Mens_OXYFIT_N_Walking_Shoe,0.23082811137040457,0.0,4.1,0
exr:BRUTON_Shoes_Shoes_Casual_Shoes_Sports_Shoes_Running_Shoes_Exclusive_Shoes_for_Men,0.25187809268633526,0.0,2.9,0
exr:CHUPPS_Mens_Boys_Natural_Rubber_Flip_Flops_Slippers_KALEEN_DESIGN_Comfortable_Ultra_Light_Odour_Free_Non_Slip_Long_Lasting_Digital_Prints,0.2662173757950465,0.0,4.4,0
exr:Fastrack_Men_Square_Black_Sunglasses_Pack_of_1,0.4595797061920166,1.0,4.0,1
exr:Ray_Ban_Men_Rectangular_Sunglasses,0.3604353765646617,1.0,3.8,0
exr:Fastrack_Aviator_Unisex_Sunglasses_M069BK3_58_Grey_Pack_of_1,0.48689157764116925,1.0,3.9,1
exr:Ray_Ban_Men_Square_Sunglasses_Black_Frame_Green_Lens_Small_Pack_of_1,0.41867438952128094,1.0,4.0,0
exr:Fastrack_Men_Casual_Round_Sunglasses_Brown_59_mm_NBM138GR5P_Pack_of_1,0.4956880410512288,1.0,3.9,1
exr:CREATURE_Men_Socks,0.252958541115125,0.2857142857142857,4.1,0
exr:Jockey_Mens_Calf_Length_Sports_Cotton_Socks,0.2003218481938044,0.2857142857142857,4.2,0
exr:BALENZIA_Mens_Cushioned_High_Ankle_Sports_Socks_Free_Size_Made_with_Cotton_Spandex_Combo_Pack_of_3_5_Black_Navy_White_Light_Grey_Dark_Grey_,0.3269204447666804,0.25,4.1,0
