,name_sim_score,cat_sim_score,rating,manuf_count
exr:Lapster_5_in_1_Multi_Function_Laptop_Cleaning_Brush_Keyboard_Cleaning_kit_Gadget_Cleaning_kit_Gap_Duster_Key_Cap_Puller_for_Laptop_Keyboard_and_Earphones_Multi_Colour_,0.2023433248202006,0.0,4.1,0
exr:ASA_Global_Solution_Fabric_14_inch_Laptop_Sleeve_with_Inner_Protection_and_Water_Resistance,0.2281868706146876,0.0,4.4,0
exr:Allen_Solly_Mens_Regular_Fit_Polo,0.3307898888985316,0.3333333333333333,4.1,0
exr:Veirdo_Oversized_Loose_Baggy_Fit_Drop_Shoulder_Half_Sleeves_Pure_Cotton_The_Original_Graphic_Printed_T_Shirt_for_Men,0.3382667700449626,0.3333333333333333,4.4,0
exr:LEOTUDE_Womens_Cottonblend_Half_Sleeve_Oversized_T_Shirts_Color_Orange_,0.4090923269589742,0.3333333333333333,3.7,0
exr:Campus_Mens_OXYFIT_N_Walking_Shoe,0.2505944271882375,0.0,4.1,0
exr:BRUTON_Shoes_Shoes_Casual_Shoes_Sports_Shoes_Running_Shoes_Exclusive_Shoes_for_Men,0.3285471896330516,0.0,2.9,0
exr:CHUPPS_Mens_Boys_Natural_Rubber_Flip_Flops_Slippers_KALEEN_DESIGN_Comfortable_Ultra_Light_Odour_Free_Non_Slip_Long_Lasting_Digital_Prints,0.3139299551645915,0.0,4.4,0
exr:Fastrack_Men_Square_Black_Sunglasses_Pack_of_1,0.4464118182659149,1.0,4.0,1
exr:Ray_Ban_Men_Rectangular_Sunglasses,0.3403892566760381,1.0,3.8,0
exr:Fastrack_Aviator_Unisex_Sunglasses_M069BK3_58_Grey_Pack_of_1,0.5080813268820444,1.0,3.9,1
exr:Ray_Ban_Men_Square_Sunglasses_Black_Frame_Green_Lens_Small_Pack_of_1,0.39843636751174927,1.0,4.0,0
exr:Fastrack_Men_Casual_Round_Sunglasses_Brown_59_mm_NBM138GR5P_Pack_of_1,0.4805656373500824,1.0,3.9,1
exr:CREATURE_Men_Socks,0.27977193395296734,0.2857142857142857,4.1,0
exr:Jockey_Mens_Calf_Length_Sports_Cotton_Socks,0.2764391029874484,0.2857142857142857,4.2,1
exr:BALENZIA_Mens_Cushioned_High_Ankle_Sports_Socks_Free_Size_Made_with_Cotton_Spandex_Combo_Pack_of_3_5_Black_Navy_White_Light_Grey_Dark_Grey_,0.3760075370470683,0.25,4.1,0
exr:Jockey_7002_Mens_Compact_Cotton_Stretch_Ankle_Length_Socks_with_Stay_Fresh_Technology,0.3148454626401265,0.25,4.1,1
exr:Malabar_Gold_Diamonds_24k_999_Goddess_Lakshmi_1_gm_Yellow_Gold_Coin,0.21310793360074362,0.0,4.6,0
exr:Yellow_Chimes_Chain_Pendant_for_Men_Black_Men_Pendant_Stainless_Steel_Black_Sailor_Anchor_Charm_Pendant_Necklace_for_Men_and_Boys_,0.2811545977989833,0.16666666666666666,3.8,0
exr:URBAN_FOREST_Leather_Belt_for_Men,0.31995778282483417,0.3333333333333333,4.0,0
exr:GUSTAVE_Mens_Shirt_Stays_Adjustable_Elastic_Shirt_Garters_with_Locking_Non_Slip_Clips,0.2830132693052292,0.3333333333333333,4.0,0
exr:HIDE_SKIN_Mens_Leather_Belt,0.31692702571551007,0.3333333333333333,4.1,0
exr:PALAY_Pants_Chain_Jeans_Chain_for_Men_Women_Fashion_Gothic_Punk_Wallet_Pocket_Chain_Belt_Chain_Hip_Hop_Rock_Biker_Trousers_Chain_Silver_,0.40421728293100995,0.3333333333333333,4.3,0
exr:KOTTY_Women_Polyester_Blend_Green_Solid_Trousers,0.4201089044411977,0.6,3.6,0
exr:Campus_Sutra_Womens_Cotton_Jacket_Relaxed_Fit_For_Casual_Wear_Full_Sleeve_Latest_Stylish_Wear_Cotton_Jacket_Crafted_With_Comfort_Fit_And_High_Performance_For_Everyday_Wear,0.33132349451382953,0.42857142857142855,0.0,0
exr:LEOTUDE_Cottonblend_Half_Sleeve_Oversized_T_Shirts_for_Women_Color_Brown_,0.3742831548055013,0.5,3.6,0
exr:LEOTUDE_Cotton_Blend_Half_Sleeve_Oversized_Back_Printed_Womens_T_Shirt,0.4205629726250966,0.5,3.9,0
exr:Kotty_Womens_Loose_Fit_Jeans,0.37700270613034564,0.6,3.7,0
exr:Stylum_Womens_Self_Woven_Kantha_Cotton_Cord_Set,0.4409702718257904,0.5,4.7,1
exr:Campus_Sutra_Womens_Electric_Blue_Regular_Fit_Cotton_Jacket_For_Winter_Wear_Standing_Collar_Full_Sleeve_Buttoned_Casual_Jacket_For_Woman_Girl_Western_Stylish_Jacket_For_Women,0.3100118339061737,0.42857142857142855,0.0,0
exr:DHRUVI_TRENDZ_Soft_Cotton_Silk_Saree_For_Women_Half_Sarees_Under_449_2020_Beautiful_For_Women_saree_free_size_with_blouse_piece,0.4090758760770162,0.6,3.7,0
exr:OM_SAI_LATEST_CREATION_Women_Soft_Cotton_Silk_Banarasi_Saree_for_women_Under_300_2022_Beautiful_saree_free_size_with_blouse_piece_Saree,0.36345889170964557,0.6,3.7,0
exr:SIRIL_Womens_Tassel_Self_Woven_Cotton_Silk_Saree_with_Unstitched_Blouse_Piece,0.37471004327138263,0.6,3.8,0
exr:Amazon_Brand_Myx_Womens_Cotton_Straight_Short_Kurti,0.4827023446559906,1.0,4.0,0
exr:Ada_Hand_Embroidered_Lucknowi_Chikankari_Straight_Cotton_Kurta_Kurti_for_Women_A133488,0.4282459219296773,1.0,4.0,0
exr:MEERA_FAB_Womens_Cotton_Printed_Blue_Anarkali_Kurta_with_Palazzo_Dupatta_Set,0.3980870048205058,1.0,3.9,0
exr:Vaamsi_Womens_Poly_Cotton_Floral_Printed_Straight_Kurta_Pant_with_Dupatta_Set_VKSKD1238_,0.46616510550181073,1.0,3.6,0
exr:Vaamsi_Womens_Poly_Cotton_Floral_Printed_Straight_Kurta_Pant_with_Dupatta_Set_VKSKD1242_,0.4672233561674754,1.0,3.7,0
exr:Yashika_Womens_Full_Elastic_Cotton_Blend_Lycra_Saree_Shapewear_Petticoat_Free_Size,0.42927755912144977,0.6,3.2,0
exr:Janasya_Womens_Green_Poly_Chiffon_Self_Design_Flared_Kurta,0.46824873487154645,1.0,4.1,0
exr:Vaamsi_Womens_Poly_Cotton_Floral_Printed_Straight_Kurta_Pant_with_Dupatta_Set_VKSKD1182_,0.4669387737909953,1.0,3.5,0
exr:TIMEX_Analog_Womens_Watch_Dial_Colored_Strap_,0.3185536166032155,0.16666666666666666,4.4,0
exr:Fossil_Gen_5E_Smartwatch_with_AMOLED_Screen_Wear_OS_by_Google_Built_in_Speaker_for_Phone_Calls_Google_Assistant_SpO2_GPS_NFC_Wellness_Features_and_Smartphone_Notifications,0.217643270889918,0.16666666666666666,3.9,0
exr:Fossil_Gwen_Analogue_Womens_Watch_Rose_Gold_Dial_Womens_Standard_Colored_Strap_ES4879,0.4169788857301076,0.0,4.4,0
exr:Sonata_Analog_Blue_Dial_Womens_Watch_NM8989PP04_NL8989PP04,0.23482251664002737,0.16666666666666666,4.0,0
exr:NIBOSI_Women_Watches_Analog_Rose_Gold_Square_Dial_Womens_Watch_for_Girls_Miss_Ladies_Diamond_Studded_with_Stylish_Watches_Waterproof,0.3323609282573064,0.16666666666666666,4.1,0
exr:SWADESI_STUFF_Classique_Crystalline_2Tone_Premium_Luxurious_Watch_for_Women,0.39842602610588074,0.16666666666666666,0.0,0
exr:The_Clownfish_Octavia_Womens_Wallet_Clutch_Ladies_Purse_with_Card_holders_Tan_,0.467610498269399,1.0,4.2,1
exr:Lavie_Womens_Betula_Medium_Tote_Bag_Ladies_Purse_Handbag,0.36506539583206177,0.0,4.1,0
